Threshold,Cow,Pooling.method,Primer,Cooperia oncophora,Cooperia punctata,Haemonchus contortus,Haemonchus placei,Oesophagostomum radiatum,Ostertagia ostertagi,Trichostrongylus axei
All reads,C13,P6,NEMA2,0.010080532,0.010981585,0.000647632,0.605704792,0.274539618,0.051331869,0.046713972
All reads,C13,P7,NEMA2,0.006693259,0.009194781,0,0.561152052,0.324724495,0.052734771,0.045500642
All reads,C13,P8,NEMA2,0.009220976,0.011674263,0.001438134,0.60619455,0.269184811,0.052967737,0.04931953
All reads,C13,P9,NEMA2,0.009259849,0.011351811,0,0.608750133,0.269024105,0.053191037,0.048423065
All reads,C13,P10,NEMA2,0.009280644,0.011377303,0,0.610117179,0.269606956,0.053310486,0.046307432
All reads,C13,P11,NEMA2,0.008706531,0.010177343,0.001403188,0.60950787,0.270426535,0.051157208,0.048621325
All reads,C13,P12,NEMA2,0.008747792,0.010225574,0,0.612396385,0.269703764,0.051399647,0.047526838
All reads,C13,P13,NEMA2,0.008900639,0.011426893,0.001145627,0.606947198,0.269692296,0.053873834,0.048013513
All reads,C13,P14,NEMA2,0.008962641,0.010988848,0,0.6111752,0.269751827,0.05424912,0.044872364
All reads,C13,P15,NEMA2,0.010064946,0.013376846,0.001793273,0.602200394,0.267439982,0.05370125,0.051423309
All reads,C13,P16,NEMA2,0.010106581,0.012864397,0,0.60469153,0.268465195,0.053923398,0.049948899
All reads,C14,P1,NEMA2,0.018382141,0.033341005,0,0.727777458,0.177780335,0,0.042719061
All reads,C14,P2,NEMA2,0.019438626,0.032202206,0,0.734254992,0.174025974,0,0.040078201
All reads,C14,P3,NEMA2,0.018644014,0.026979733,0,0.761254812,0.155101651,0,0.038019789
All reads,C14,P4,NEMA2,0.018950314,0.034042734,0,0.717356283,0.184903341,0.000254367,0.044492963
All reads,C14,P5,NEMA2,0.019491043,0.033769874,0.000306601,0.728548903,0.169090272,0,0.048793307
All reads,C14,P6,NEMA2,0.011101071,0.026332774,0,0.8039241,0.114625016,0,0.044017039
All reads,C14,P7,NEMA2,0.015875145,0.028306949,0,0.777077185,0.139835435,0,0.038905286
All reads,C14,P8,NEMA2,0.018833703,0.030981,0,0.740367458,0.169473911,0,0.040343928
All reads,C14,P9,NEMA2,0.018561417,0.031017492,0,0.740356112,0.169673531,0,0.040391449
All reads,C14,P10,NEMA2,0.017983068,0.03103577,0,0.740792394,0.169773517,0,0.040415251
All reads,C14,P11,NEMA2,0.018918191,0.03276319,0,0.731064095,0.175875409,0,0.041379115
All reads,C14,P12,NEMA2,0.018500929,0.032777124,0,0.731375023,0.175950211,0,0.041396714
All reads,C14,P13,NEMA2,0.018506489,0.030320427,0,0.743673802,0.167011618,0,0.040487665
All reads,C14,P14,NEMA2,0.017640022,0.030389292,0,0.744000121,0.167390942,0,0.040579622
All reads,C14,P15,NEMA2,0.019067166,0.029760842,0,0.746876673,0.165179368,0,0.03911595
All reads,C14,P16,NEMA2,0.01865427,0.029814053,0,0.746871089,0.165474701,0,0.039185887
All reads,C15,P1,NEMA2,0.002596143,0.00208262,0.003223782,0.617625242,0.299726121,0.032865457,0.041880634
All reads,C15,P2,NEMA2,0.002163866,0.002163866,0.001976865,0.596238613,0.323164053,0.03609115,0.038201587
All reads,C15,P3,NEMA2,0.001731102,0.001779188,0.00257261,0.595907867,0.32621658,0.030895364,0.040897288
All reads,C15,P4,NEMA2,0.002565304,0.001331985,0.001973311,0.616758343,0.310722478,0.031696307,0.034952271
All reads,C15,P5,NEMA2,0.001649042,0.001806094,0.002120197,0.595880013,0.332373573,0.032221757,0.033949325
All reads,C15,P6,NEMA2,0.003769449,0.001924825,0.003181308,0.580708977,0.331363952,0.03531519,0.043736299
All reads,C15,P7,NEMA2,0.002714603,0.001853875,0.001986295,0.589631542,0.332439501,0.033700798,0.037673387
All reads,C15,P8,NEMA2,0.002138906,0.00199865,0.002577207,0.602689412,0.317075309,0.033205642,0.040314875
All reads,C15,P9,NEMA2,0.001432627,0.000861334,0.002522478,0.604278545,0.317603734,0.032880108,0.040421175
All reads,C15,P10,NEMA2,0,0,0.002541465,0.608826941,0.316177708,0.033127596,0.03932629
All reads,C15,P11,NEMA2,0.002372905,0.002124577,0.002579844,0.606580672,0.311830034,0.034531282,0.039980686
